Target,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB],CcdRow[1-7],Fov[FovP=preceding/FovF=following],scanAngle[rad],parallaxFactorAlongScan,CcdStrip[1-11],transitid,mjd,psi_deg,spsi_obs,cpsi_obs,ppfact_obs,theta,ref_epoch,centroidPosAl_mas,centroidPosAlError_mas,relative_time_year,source_id,sigma_da_mas,da_mas,strip
HD40503,2456922.629595567,4,FoVP,-2.367227412827126,-0.719125058342411,1,0,56922.12959556701,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.25290640755317,0.6120100910494882,-1.2768525788719873,2884087104955208064,0.6120100910494882,-47.25290640755317,1
HD40503,2456922.6296476503,4,FoVP,-2.367227412827126,-0.719125058342411,3,0,56922.12964765029,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.9668619210362,0.14247598778057316,-1.276852436275728,2884087104955208064,0.14247598778057316,-47.9668619210362,3
HD40503,2456922.6296997336,4,FoVP,-2.367227412827126,-0.719125058342411,4,0,56922.129699733574,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.74434117413043,0.1314731857210238,-1.276852293679469,2884087104955208064,0.1314731857210238,-47.74434117413043,4
HD40503,2456922.629751817,4,FoVP,-2.367227412827126,-0.719125058342411,5,0,56922.12975181686,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.67078530279676,0.16023848752943154,-1.2768521510832098,2884087104955208064,0.16023848752943154,-47.67078530279676,5
HD40503,2456922.6298039,4,FoVP,-2.367227412827126,-0.719125058342411,6,0,56922.12980390014,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.54499820697588,0.16041838750320542,-1.2768520084869506,2884087104955208064,0.16041838750320542,-47.54499820697588,6
HD40503,2456922.629855984,4,FoVP,-2.367227412827126,-0.719125058342411,7,0,56922.12985598389,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.72597380887655,0.1496651236847934,-1.2768518658894166,2884087104955208064,0.1496651236847934,-47.72597380887655,7
HD40503,2456922.629908067,4,FoVP,-2.367227412827126,-0.719125058342411,8,0,56922.129908067174,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.518132252918214,0.1588979563299219,-1.2768517232931573,2884087104955208064,0.1588979563299219,-47.518132252918214,8
HD40503,2456922.6299601505,4,FoVP,-2.367227412827126,-0.719125058342411,9,0,56922.12996015046,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.854536955595215,0.16710137584275084,-1.2768515806968983,2884087104955208064,0.16710137584275084,-47.854536955595215,9
HD40503,2456922.6300122337,4,FoVP,-2.367227412827126,-0.719125058342411,10,0,56922.13001223374,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-47.76204482480164,0.16224879841147752,-1.276851438100639,2884087104955208064,0.16224879841147752,-47.76204482480164,10
HD40503,2456922.630064317,4,FoVP,-2.367227412827126,-0.719125058342411,11,0,56922.130064317025,-135.63213990266732,-0.6992624490617975,-0.7148650413414388,-0.719125058342411,-135.63213990266732,2016.0,-48.04125801212597,0.155207774174886,-1.2768512955043798,2884087104955208064,0.155207774174886,-48.04125801212597,11
HD40503,2456930.022028646,2,FoVP,2.458115991083583,0.7130329203104422,1,1,56929.522028645966,140.8396718427068,0.6314925763255181,-0.7753819226972987,0.7130329203104422,140.8396718427068,2016.0,181.29423480709247,0.590906740322204,-1.2566132001479364,2884087104955208064,0.590906740322204,181.29423480709247,1
